date,close,open,highest,lowest,volume,rate,_index
2022-09-01,11785.13,11707.44,11798.37,11546.52,974.17M,-0.26%,nsdq
2022-08-31,11816.2,11972.56,12027.43,11814.17,1.16B,-0.56%,nsdq
2022-08-30,11883.14,12093.06,12101.85,11790.03,896.27M,-1.12%,nsdq
2022-08-29,12017.67,12021.05,12124.87,11981.42,798.39M,-1.02%,nsdq
2022-08-26,12141.71,12630.58,12655.84,12141.52,960.49M,-3.94%,nsdq
2022-08-25,12639.26,12506.37,12641.26,12471.98,797.23M,1.67%,nsdq
2022-08-24,12431.53,12375.15,12504.33,12350.16,770.65M,0.41%,nsdq
2022-08-23,12381.3,12380.37,12490.86,12352.03,763.64M,0.00%,nsdq
2022-08-22,12381.57,12523.16,12538.55,12353.73,857.72M,-2.55%,nsdq
2022-08-19,12705.21,12832.27,12859.01,12674.87,998.67M,-2.01%,nsdq
2022-08-18,12965.34,12937.79,13002.66,12873.49,865.17M,0.21%,nsdq
2022-08-17,12938.12,12968.63,13053.51,12863.01,977.81M,-1.25%,nsdq
2022-08-16,13102.55,13082.64,13181.09,12979.24,952.79M,-0.19%,nsdq
2022-08-15,13128.05,12996.63,13146.06,12993.78,862.20M,0.62%,nsdq
2022-08-12,13047.19,12866.31,13047.19,12821.22,936.39M,2.09%,nsdq
2022-08-11,12779.91,12944.82,13026.24,12760.09,1.08B,-0.58%,nsdq
2022-08-10,12854.8,12793.44,12861.44,12698.61,1.05B,2.89%,nsdq
2022-08-09,12493.93,12557.49,12582.91,12438.86,1.02B,-1.19%,nsdq
2022-08-08,12644.46,12703.72,12855.16,12597.75,1.00B,-0.10%,nsdq
2022-08-05,12657.55,12538.8,12720.44,12525.77,991.77M,-0.50%,nsdq
2022-08-04,12720.58,12675.04,12736.19,12600.78,1.05B,0.41%,nsdq
2022-08-03,12668.16,12433.87,12699.64,12425.21,1.10B,2.59%,nsdq
2022-08-02,12348.76,12287.67,12503.34,12260.48,902.82M,-0.16%,nsdq
2022-08-01,12368.98,12317.96,12499.72,12271.98,891.53M,-0.18%,nsdq
2022-07-29,12390.69,12239.69,12426.26,12181.13,1.10B,1.88%,nsdq
2022-07-28,12162.59,12036.48,12179.09,11886.67,958.80M,1.08%,nsdq
2022-07-27,12032.42,11756.19,12081.73,11718.38,939.31M,4.06%,nsdq
2022-07-26,11562.58,11701.53,11711.31,11533.37,834.49M,-1.87%,nsdq
2022-07-25,11782.67,11837.96,11855.11,11707.53,783.12M,-0.43%,nsdq
2022-07-22,11834.11,12025.37,12093.02,11767.19,884.72M,-1.87%,nsdq
2022-07-21,12059.61,11914.15,12060.59,11812.72,840.81M,1.36%,nsdq
2022-07-20,11897.65,11726.09,11939.96,11703.36,1.01B,1.58%,nsdq
2022-07-19,11713.15,11515,11721.22,11448.97,974.15M,3.11%,nsdq
2022-07-18,11360.05,11561.64,11629.03,11322.84,922.80M,-0.81%,nsdq
2022-07-15,11452.42,11379.36,11454.69,11295.33,947.43M,1.79%,nsdq
2022-07-14,11251.18,11151.21,11279.97,11005.93,817.49M,0.03%,nsdq
2022-07-13,11247.58,11056.55,11325.67,11031.27,812.60M,-0.15%,nsdq
2022-07-12,11264.73,11420.89,11483.17,11207.08,836.73M,-0.95%,nsdq
2022-07-11,11372.6,11524.49,11541.1,11348.06,844.13M,-2.26%,nsdq
2022-07-08,11635.31,11503.61,11689.7,11479.77,820.69M,0.12%,nsdq
2022-07-07,11621.35,11422.6,11644.47,11412.88,916.26M,2.28%,nsdq
2022-07-06,11361.85,11337.9,11443.14,11250.32,933.39M,0.35%,nsdq
2022-07-05,11322.24,10964.18,11323.89,10911.45,1.07B,1.75%,nsdq
2022-07-01,11127.84,11006.83,11132.55,10922.71,930.71M,0.90%,nsdq
2022-06-30,11028.74,11048.25,11160.92,10850.01,1.16B,-1.33%,nsdq
2022-06-29,11177.89,11160.22,11226.33,11072.19,1.02B,-0.03%,nsdq
2022-06-28,11181.54,11542.24,11635.86,11177.68,1.02B,-2.98%,nsdq
2022-06-27,11524.55,11661.02,11677.49,11487.07,991.61M,-0.72%,nsdq
2022-06-24,11607.62,11351.31,11613.23,11337.78,4.31B,3.34%,nsdq
2022-06-23,11232.19,11137.68,11260.27,11046.29,1.03B,1.62%,nsdq
2022-06-22,11053.08,10941.95,11216.77,10938.06,1.11B,-0.15%,nsdq
2022-06-21,11069.3,10974.05,11164.99,10974.05,1.19B,2.51%,nsdq
2022-06-17,10798.35,10697.55,10884.71,10638.72,2.80B,1.43%,nsdq
2022-06-16,10646.1,10806.02,10831.07,10565.13,1.25B,-4.08%,nsdq
2022-06-15,11099.16,10968.4,11244.26,10866.39,1.22B,2.50%,nsdq
2022-06-14,10828.34,10897.43,10926.81,10733.04,953.68M,0.18%,nsdq
2022-06-13,10809.22,10986.84,11071.48,10775.14,1.21B,-4.68%,nsdq
2022-06-10,11340.02,11543.88,11569.15,11328.27,1.06B,-3.52%,nsdq
2022-06-09,11754.23,12016.47,12115.07,11751.98,998.87M,-2.75%,nsdq
2022-06-08,12086.27,12147.28,12235.78,12052.7,911.77M,-0.73%,nsdq
2022-06-07,12175.23,11925.81,12194.86,11888.62,900.55M,0.94%,nsdq
2022-06-06,12061.37,12200.33,12245.4,12004.2,911.01M,0.40%,nsdq
2022-06-03,12012.73,12097.12,12167.44,11966.62,837.59M,-2.47%,nsdq
2022-06-02,12316.9,11945.57,12320.12,11901.45,916.66M,2.69%,nsdq
2022-06-01,11994.46,12176.89,12237.93,11901.43,940.60M,-0.72%,nsdq
2022-05-31,12081.39,12137.54,12190.08,11942.5,1.77B,-0.41%,nsdq
2022-05-27,12131.13,11869.69,12131.66,11856.82,942.22M,3.33%,nsdq
2022-05-26,11740.65,11409.84,11796.97,11406.16,930.42M,2.68%,nsdq
2022-05-25,11434.74,11225.03,11511.9,11211.85,907.18M,1.51%,nsdq
2022-05-24,11264.45,11326.44,11351.61,11092.48,924.23M,-2.35%,nsdq
2022-05-23,11535.28,11396.28,11552.07,11304.56,889.21M,1.59%,nsdq
2022-05-20,11354.62,11542.67,11552.21,11035.69,1.20B,-0.30%,nsdq
2022-05-19,11388.5,11364.4,11562.82,11313.31,1.05B,-0.26%,nsdq
2022-05-18,11418.15,11790.68,11826.22,11381.69,1.03B,-4.73%,nsdq
2022-05-17,11984.52,11905.57,11988.43,11754.28,1.02B,2.76%,nsdq
2022-05-16,11662.79,11727.14,11804.59,11627.53,978.06M,-1.20%,nsdq
2022-05-13,11805,11555.97,11856.71,11510.25,1.23B,3.82%,nsdq
2022-05-12,11370.96,11199.25,11547.33,11108.76,1.40B,0.06%,nsdq
2022-05-11,11364.24,11645.57,11844.5,11339.18,1.27B,-3.18%,nsdq
2022-05-10,11737.67,11900.34,11944.94,11566.28,1.28B,0.98%,nsdq
2022-05-09,11623.25,11923.03,11990.61,11574.94,1.24B,-4.29%,nsdq
2022-05-06,12144.66,12246.83,12358.42,11990.15,1.09B,-1.40%,nsdq
2022-05-05,12317.69,12787.52,12787.52,12183.56,1.10B,-4.99%,nsdq
2022-05-04,12964.86,12574.73,12985.01,12367.02,1.11B,3.19%,nsdq
2022-05-03,12563.76,12511.46,12645.83,12460.99,897.83M,0.22%,nsdq
2022-05-02,12536.02,12331.69,12542.54,12202.41,1.04B,1.63%,nsdq
2022-04-29,12334.64,12710.42,12861.83,12315.74,1.09B,-4.17%,nsdq
2022-04-28,12871.53,12712.86,12948.52,12487.86,1.01B,3.06%,nsdq
2022-04-27,12488.93,12500.88,12703.79,12430.9,942.84M,-0.01%,nsdq
2022-04-26,12490.74,12918.04,12918.04,12490.74,1.02B,-3.95%,nsdq
2022-04-25,13004.85,12749.17,13011.45,12722.59,988.04M,1.29%,nsdq
2022-04-22,12839.29,13168.8,13212.61,12828.02,950.70M,-2.55%,nsdq
2022-04-21,13174.65,13623.7,13710.7,13140.83,993.83M,-2.07%,nsdq
2022-04-20,13453.07,13665.38,13678.55,13426.13,871.26M,-1.22%,nsdq
2022-04-19,13619.66,13312.44,13643.97,13281.22,855.29M,2.15%,nsdq
2022-04-18,13332.36,13319.39,13414.27,13222.03,832.41M,-0.14%,nsdq
2022-04-14,13351.08,13647.42,13662.93,13345.22,927.38M,-2.14%,nsdq
2022-04-13,13643.59,13373.12,13679.43,13353.66,910.79M,2.03%,nsdq
2022-04-12,13371.57,13584.69,13685.95,13317.74,902.42M,-0.30%,nsdq
2022-04-11,13411.96,13547.29,13585.08,13401.39,991.30M,-2.18%,nsdq
2022-04-08,13711,13830.47,13866.06,13693.69,858.45M,-1.34%,nsdq
2022-04-07,13897.3,13861.49,13978.25,13689.23,931.35M,0.06%,nsdq
2022-04-06,13888.82,14002.58,14032.84,13788.9,1.09B,-2.22%,nsdq
2022-04-05,14204.17,14490.26,14500.29,14169.12,930.40M,-2.26%,nsdq
2022-04-04,14532.55,14304.35,14534.38,14286.45,915.41M,1.90%,nsdq
2022-04-01,14261.5,14269.53,14306.94,14131.81,1.02B,0.29%,nsdq
2022-03-31,14220.52,14444.78,14456.74,14217.72,1.10B,-1.54%,nsdq
2022-03-30,14442.28,14558.59,14609.25,14383.45,1.01B,-1.21%,nsdq
